Date,1 USD -> LKR,1 LKR -> USD,,,,,,,
9/27/2024,300.2152,0.0033,,,,,,,
9/26/2024,301.7592,0.0033,,,,,,,
9/25/2024,303.9075,0.0033,,,,,,,
9/24/2024,304.4214,0.0033,,,,,,,
9/23/2024,304.8847,0.0033,,,,,,,
9/20/2024,304.5504,0.0033,,,,,,,
9/19/2024,303.9177,0.0033,,,,,,,
9/18/2024,301.1969,0.0033,,,,,,,
9/13/2024,301.7977,0.0033,,,,,,,
9/12/2024,300.7654,0.0033,,,,,,,
9/11/2024,300.7295,0.0033,,,,,,,
9/10/2024,300.0746,0.0033,,,,,,,
9/9/2024,298.6949,0.0033,,,,,,,
9/6/2024,298.8696,0.0033,,,,,,,
9/5/2024,298.9385,0.0033,,,,,,,
9/4/2024,299.1715,0.0033,,,,,,,
9/3/2024,299.0072,0.0033,,,,,,,
9/2/2024,299.6011,0.0033,,,,,,,
8/30/2024,300.3276,0.0033,,,,,,,
8/29/2024,300.6837,0.0033,,,,,,,
8/28/2024,300.7178,0.0033,,,,,,,
8/27/2024,300.6037,0.0033,,,,,,,
8/26/2024,300.5002,0.0033,,,,,,,
8/23/2024,301.1343,0.0033,,,,,,,
8/22/2024,299.9863,0.0033,,,,,,,
8/21/2024,299.2525,0.0033,,,,,,,
8/20/2024,298.6809,0.0033,,,,,,,
8/16/2024,298.9042,0.0033,,,,,,,
8/15/2024,299.2783,0.0033,,,,,,,
8/14/2024,299.228,0.0033,,,,,,,
8/13/2024,299.6647,0.0033,,,,,,,
8/12/2024,300.4007,0.0033,,,,,,,
8/9/2024,301.2378,0.0033,,,,,,,
8/8/2024,301.8515,0.0033,,,,,,,
8/7/2024,302.3394,0.0033,,,,,,,
8/6/2024,302.2113,0.0033,,,,,,,
8/5/2024,302.0889,0.0033,,,,,,,
8/2/2024,302.4975,0.0033,,,,,,,
8/1/2024,302.445,0.0033,,,,,,,
7/31/2024,302.3706,0.0033,,,,,,,
7/30/2024,302.8885,0.0033,,,,,,,
7/29/2024,303.1957,0.0033,,,,,,,
7/26/2024,303.62,0.0033,,,,,,,
7/25/2024,303.5644,0.0033,,,,,,,
7/24/2024,303.8705,0.0033,,,,,,,
7/23/2024,303.7287,0.0033,,,,,,,
7/22/2024,303.6956,0.0033,,,,,,,
7/19/2024,303.9906,0.0033,,,,,,,
7/18/2024,303.8416,0.0033,,,,,,,
7/17/2024,303.3236,0.0033,,,,,,,
7/16/2024,301.4954,0.0033,,,,,,,
7/15/2024,302.1929,0.0033,,,,,,,
7/12/2024,303.3297,0.0033,,,,,,,
7/11/2024,303.7568,0.0033,,,,,,,
7/10/2024,304.2056,0.0033,,,,,,,
7/9/2024,304.4737,0.0033,,,,,,,
7/8/2024,304.8833,0.0033,,,,,,,
7/5/2024,304.5391,0.0033,,,,,,,
7/4/2024,304.0552,0.0033,,,,,,,
7/3/2024,303.5236,0.0033,,,,,,,
7/2/2024,305.8234,0.0033,,,,,,,
7/1/2024,306.0182,0.0033,,,,,,,
6/28/2024,305.7065,0.0033,,,,,,,
6/27/2024,305.3403,0.0033,,,,,,,
6/26/2024,305.4034,0.0033,,,,,,,
6/25/2024,305.3208,0.0033,,,,,,,
6/24/2024,305.4303,0.0033,,,,,,,
6/20/2024,305.2787,0.0033,,,,,,,
6/19/2024,304.4205,0.0033,,,,,,,
6/18/2024,303.95,0.0033,,,,,,,
6/14/2024,303.8309,0.0033,,,,,,,
6/13/2024,303.738,0.0033,,,,,,,
6/12/2024,303.4547,0.0033,,,,,,,
6/11/2024,303.031,0.0033,,,,,,,
6/10/2024,302.6971,0.0033,,,,,,,
6/7/2024,302.7081,0.0033,,,,,,,
6/6/2024,302.2895,0.0033,,,,,,,
6/5/2024,302.1706,0.0033,,,,,,,
6/4/2024,301.9524,0.0033,,,,,,,
6/3/2024,301.8946,0.0033,,,,,,,
5/31/2024,301.8883,0.0033,,,,,,,
5/30/2024,301.51,0.0033,,,,,,,
5/29/2024,301.2717,0.0033,,,,,,,
5/28/2024,300.4217,0.0033,,,,,,,
5/27/2024,299.9863,0.0033,,,,,,,
5/22/2024,299.7458,0.0033,,,,,,,
5/21/2024,299.8265,0.0033,,,,,,,
5/20/2024,299.8755,0.0033,,,,,,,
5/17/2024,301.3081,0.0033,,,,,,,
5/16/2024,302.2475,0.0033,,,,,,,
5/15/2024,300.834,0.0033,,,,,,,
