Date,LP 95,LP 92,LAD,LSD,LK,LIK,FUR. 800,FUR 1500 (High),FUR. 1500 (Low)
2024-09-05,377.0,332.0,307.0,352.0,202.0,210.0,199.0,199.0,199.0
2024-07-15,377.0,332.0,307.0,352.0,202.0,219.0,199.0,199.0,199.0
2024-09-01,377.0,332.0,307.0,352.0,202.0,210.0,204.0,204.0,204.0
2024-07-01,379.0,344.0,317.0,355.0,202.0,210.0,204.0,204.0,204.0
2024-06-05,420.0,355.0,317.0,377.0,202.0,210.0,204.0,204.0,204.0
2024-05-31,420.0,355.0,317.0,377.0,202.0,223.0,204.0,204.0,204.0
2024-05-06,420.0,368.0,333.0,377.0,215.0,223.0,204.0,204.0,204.0
2024-04-05,420.0,368.0,333.0,377.0,215.0,250.0,204.0,204.0,204.0
2024-04-30,420.0,368.0,333.0,377.0,215.0,260.0,204.0,204.0,204.0
2024-04-06,440.0,371.0,363.0,386.0,245.0,260.0,189.0,189.0,189.0
2024-04-01,440.0,371.0,363.0,386.0,245.0,260.0,204.0,204.0,204.0
2024-03-05,447.0,371.0,363.0,458.0,257.0,260.0,204.0,204.0,204.0
2024-02-01,456.0,371.0,363.0,468.0,262.0,266.0,201.0,201.0,201.0
2024-01-01,464.0,366.0,358.0,475.0,236.0,251.0,211.0,211.0,211.0
2023-12-01,426.0,346.0,329.0,434.0,247.0,288.0,207.0,207.0,207.0
2023-11-01,423.0,356.0,356.0,431.0,249.0,288.0,207.0,207.0,207.0
2023-10-02,420.0,365.0,351.0,421.0,242.0,300.0,191.0,191.0,191.0
2023-09-01,417.0,361.0,341.0,359.0,231.0,238.0,191.0,191.0,191.0
2023-08-01,375.0,348.0,306.0,358.0,226.0,231.0,203.0,203.0,203.0
2023-07-01,365.0,328.0,308.0,346.0,236.0,270.0,216.0,216.0,216.0
2023-06-01,385.0,318.0,310.0,340.0,245.0,270.0,216.0,216.0,216.0
2023-05-01,365.0,333.0,310.0,330.0,295.0,330.0,261.0,261.0,261.0
2023-03-30,375.0,340.0,325.0,465.0,295.0,330.0,320.0,320.0,320.0
2023-03-02,510.0,400.0,405.0,510.0,305.0,330.0,320.0,320.0,320.0
2023-02-01,510.0,400.0,405.0,510.0,355.0,464.0,320.0,320.0,320.0
2023-01-03,510.0,370.0,405.0,510.0,355.0,464.0,320.0,320.0,320.0
2022-12-06,510.0,370.0,420.0,510.0,365.0,464.0,320.0,320.0,320.0
2022-11-12,510.0,370.0,430.0,510.0,365.0,464.0,419.0,419.0,419.0
2022-10-17,510.0,370.0,415.0,510.0,340.0,464.0,320.0,320.0,320.0
2022-10-17,510.0,370.0,415.0,510.0,340.0,464.0,419.0,419.0,419.0
2022-10-02,510.0,410.0,430.0,510.0,340.0,464.0,419.0,419.0,419.0
2022-08-21,540.0,450.0,430.0,510.0,340.0,464.0,419.0,419.0,419.0
2022-08-01,540.0,450.0,430.0,510.0,87.0,464.0,419.0,419.0,419.0
2022-07-17,540.0,450.0,440.0,510.0,87.0,464.0,419.0,419.0,419.0
2022-06-26,550.0,470.0,460.0,520.0,87.0,464.0,419.0,419.0,419.0
2022-05-24,450.0,420.0,400.0,445.0,87.0,399.0,369.0,369.0,369.0
2022-04-22,373.0,338.0,289.0,329.0,87.0,305.0,289.0,289.0,289.0
2022-04-18,373.0,338.0,289.0,329.0,87.0,160.0,214.0,214.0,214.0
2022-03-22,283.0,254.0,176.0,254.0,87.0,160.0,214.0,214.0,214.0
2022-03-11,283.0,254.0,176.0,254.0,87.0,110.0,214.0,214.0,214.0
2021-12-27,207.0,177.0,121.0,159.0,87.0,110.0,110.0,110.0,110.0
2021-12-20,207.0,177.0,121.0,159.0,87.0,110.0,92.0,96.0,96.0
2021-06-11,184.0,157.0,111.0,144.0,77.0,110.0,92.0,96.0,96.0
2019-09-10,161.0,137.0,104.0,132.0,70.0,110.0,92.0,96.0,96.0
2019-08-13,163.0,138.0,104.0,134.0,70.0,110.0,92.0,96.0,96.0
2019-07-11,159.0,136.0,104.0,131.0,70.0,110.0,92.0,96.0,96.0
2019-06-11,164.0,138.0,104.0,136.0,70.0,110.0,92.0,96.0,96.0
2019-05-11,164.0,135.0,104.0,136.0,70.0,110.0,92.0,96.0,96.0
2019-03-13,159.0,132.0,104.0,134.0,70.0,110.0,92.0,96.0,96.0
2019-02-12,152.0,129.0,103.0,126.0,70.0,110.0,92.0,96.0,96.0
2019-01-11,147.0,123.0,99.0,118.0,70.0,110.0,92.0,96.0,96.0
2018-12-22,149.0,125.0,101.0,121.0,70.0,110.0,92.0,96.0,96.0
2018-12-01,159.0,135.0,106.0,131.0,70.0,110.0,92.0,96.0,96.0
2018-11-16,164.0,140.0,111.0,136.0,70.0,110.0,92.0,96.0,96.0
2018-11-02,169.0,145.0,116.0,141.0,70.0,110.0,92.0,96.0,96.0
2018-10-11,169.0,155.0,123.0,141.0,70.0,110.0,92.0,96.0,96.0
2018-09-11,161.0,149.0,123.0,133.0,70.0,110.0,92.0,96.0,96.0
2018-09-04,157.0,145.0,118.0,130.0,70.0,110.0,92.0,96.0,96.0
2018-08-11,157.0,145.0,118.0,130.0,70.0,110.0,82.2,80.0,90.0
2018-07-11,155.0,145.0,118.0,129.0,70.0,110.0,82.2,80.0,90.0
2018-06-13,148.0,137.0,109.0,119.0,70.0,110.0,82.2,80.0,90.0
2018-05-11,148.0,137.0,109.0,119.0,101.0,110.0,82.2,80.0,90.0
2015-11-28,128.0,117.0,95.0,110.0,49.0,88.0,82.2,80.0,90.0
2015-01-29,128.0,117.0,95.0,110.0,59.0,88.0,82.2,80.0,90.0
2015-01-22,128.0,117.0,95.0,110.0,65.0,94.0,82.2,80.0,90.0
2015-01-01,158.0,150.0,111.0,133.0,81.0,110.0,82.2,80.0,90.0
2014-12-05,158.0,150.0,111.0,133.0,81.0,110.0,92.2,0.0,90.0
2014-09-17,165.0,157.0,118.0,140.0,86.0,115.0,92.2,0.0,90.0
2013-02-23,170.0,162.0,121.0,145.0,106.0,115.0,92.2,0.0,90.0
2012-12-14,167.0,159.0,115.0,142.0,106.0,111.0,92.2,0.0,90.0
2012-02-12,167.0,149.0,115.0,142.0,106.0,111.0,92.2,0.0,90.0
2011-10-30,155.0,137.0,84.0,106.3,71.0,76.0,52.2,0.0,50.0
2011-04-01,143.0,125.0,76.0,98.3,61.0,66.0,52.2,0.0,50.0
2010-09-01,133.0,115.0,73.0,88.3,51.0,56.0,42.2,0.0,40.0
2009-12-29,133.0,115.0,73.0,88.3,51.0,56.0,32.9,0.0,32.7
2009-07-02,148.0,130.0,73.0,88.3,51.0,56.0,34.9,0.0,32.7
2008-12-30,133.0,120.0,70.0,85.3,50.0,55.0,33.9,0.0,25.0
2008-12-06,135.0,122.0,80.0,95.3,60.0,65.0,53.9,0.0,51.7
2008-11-07,155.0,142.0,80.0,95.3,60.0,65.0,53.9,0.0,51.7
2008-05-25,170.0,157.0,110.0,125.3,80.0,85.0,63.9,0.0,61.7
2008-01-14,130.0,127.0,80.0,85.3,70.0,75.0,63.9,0.0,61.7
2007-07-29,120.0,117.0,75.0,80.3,68.0,69.0,53.9,0.0,51.7
2007-06-30,114.0,111.0,71.0,76.3,67.0,68.0,49.9,0.0,47.7
2007-05-12,109.0,106.0,67.0,72.3,51.0,61.3,45.9,0.0,43.7
2007-04-28,108.0,105.0,65.0,70.3,50.0,60.3,39.9,0.0,37.3
